oui,company
00009A,RC COMPUTER AS
00009B,INFORMATION INTERNATIONAL, INC
00009C,ROLM MIL-SPEC COMPUTERS
00009D,LOCUS COMPUTING CORPORATION
00009E,MARLI S.A.
00009F,AMERISTAR TECHNOLOGIES INC.
0000A0,SANYO Electric Co., Ltd.
0000A1,MARQUETTE ELECTRIC CO.
0000A2,Bay Networks
0000A3,NETWORK APPLICATION TECHNOLOGY
0000A4,ACORN COMPUTERS LIMITED
0000A5,Tattile SRL
0000A6,NETWORK GENERAL CORPORATION
0000A7,NETWORK COMPUTING DEVICES INC.
0000A8,Stratus Technologies
0000A9,NETWORK SYSTEMS CORP.
0000AA,XEROX CORPORATION
0000AB,LOGIC MODELING CORPORATION
0000AC,CONWARE COMPUTER CONSULTING
0000AD,BRUKER INSTRUMENTS INC.
0000AE,DASSAULT ELECTRONIQUE
0000AF,Canberra Industries, Inc.
0000B0,RND-RAD NETWORK DEVICES
0000B1,Alpha Micro
0000B2,TELEVIDEO SYSTEMS, INC.
0000B3,CIMLINC INCORPORATED
0000B4,Edimax Technology Co. Ltd.
0000B5,DATABILITY SOFTWARE SYS. INC.
0000B6,MICRO-MATIC RESEARCH
0000B7,DOVE COMPUTER CORPORATION
0000B8,SEIKOSHA CO., LTD.
0000B9,MCDONNELL DOUGLAS COMPUTER SYS
0000BA,SIIG, INC.
0000BB,TRI-DATA
0000BC,Rockwell Automation
0000BD,Mitsubishi Cable Industries, Ltd.  Ryosei Systems
0000BE,THE NTI GROUP
0000BF,SYMMETRIC COMPUTER SYSTEMS
0000C0,WESTERN DIGITAL CORPORATION
0000C1,Madge Ltd.
0000C2,INFORMATION PRESENTATION TECH.
0000C3,Harris Corporation
0000C4,WATERS DIV. OF MILLIPORE
0000C5,ARRIS Group, Inc.
0000C6,EON SYSTEMS
0000C7,ARIX CORPORATION
0000C8,ALTOS COMPUTER SYSTEMS
0000C9,Emulex Corporation
0000CA,ARRIS Group, Inc.
0000CB,COMPU-SHACK ELECTRONIC GMBH
0000CC,DENSAN CO., LTD.
0000CD,Allied Telesis Labs Ltd
0000CE,MEGADATA CORP.
0000CF,HAYES MICROCOMPUTER PRODUCTS
0000D0,DEVELCON ELECTRONICS LTD.
0000D1,ADAPTEC INCORPORATED
0000D2,SBE, INC.
0000D3,WANG LABORATORIES INC.
0000D4,PURE DATA LTD.
0000D5,MICROGNOSIS INTERNATIONAL
0000D6,PUNCH LINE HOLDING
0000D7,DARTMOUTH COLLEGE
0000D8,Novell, Inc.
0000D9,NIPPON TELEGRAPH  TELEPHONE
0000DA,ATEX
0000DB,British Telecommunications plc
0000DC,HAYES MICROCOMPUTER PRODUCTS
0000DD,TCL INCORPORATED
0000DE,CETIA
0000DF,BELL  HOWELL PUB SYS DIV
0000E0,QUADRAM CORP.
0000E1,GRID SYSTEMS
0000E2,ACER TECHNOLOGIES CORP.
0000E3,INTEGRATED MICRO PRODUCTS LTD
0000E4,IN2 GROUPE INTERTECHNIQUE
0000E5,SIGMEX LTD.
0000E6,APTOR PRODUITS DE COMM INDUST
0000E7,Star Gate Technologies
0000E8,ACCTON TECHNOLOGY CORP.
0000E9,ISICAD, INC.
0000EA,UPNOD AB
0000EB,MATSUSHITA COMM. IND. CO. LTD.
0000EC,MICROPROCESS
0000ED,APRIL
0000EE,NETWORK DESIGNERS, LTD.
0000EF,KTI
0000F0,Samsung Electronics Co.,Ltd
0000F1,MAGNA COMPUTER CORPORATION
0000F2,SPIDER COMMUNICATIONS
0000F3,GANDALF DATA LIMITED
0000F4,Allied Telesis, Inc.
0000F5,DIAMOND SALES LIMITED
0000F6,APPLIED MICROSYSTEMS CORP.
0000F7,YOUTH KEEP ENTERPRISE CO LTD
0000F8,DIGITAL EQUIPMENT CORPORATION
0000F9,QUOTRON SYSTEMS INC.
0000FA,MICROSAGE COMPUTER SYSTEMS INC
0000FB,RECHNER ZUR KOMMUNIKATION
0000FC,MEIKO
0000FD,HIGH LEVEL HARDWARE
0000FE,Annapolis Micro Systems, Inc.
0000FF,CAMTEC ELECTRONICS LTD.
000100,EQUIPTRANS
000101,Private
000102,3COM
000103,3COM
000104,DVICO Co., Ltd.
000105,Beckhoff Automation GmbH
000106,Tews Datentechnik GmbH
000107,Leiser GmbH
000108,AVLAB Technology, Inc.
000109,Nagano Japan Radio Co., Ltd.
00010A,CIS TECHNOLOGY INC.
00010B,Space CyberLink, Inc.
00010C,System Talks Inc.
00010D,Teledyne DALSA Inc.
00010E,Bri-Link Technologies Co., Ltd
00010F,Brocade Communications Systems LLC
000110,Gotham Networks
000111,iDigm Inc.
000112,Shark Multimedia Inc.
000113,OLYMPUS CORPORATION
000114,KANDA TSUSHIN KOGYO CO., LTD.
000115,EXTRATECH CORPORATION
000116,Netspect Technologies, Inc.
000117,Canal
000118,EZ Digital Co., Ltd.
000119,RTUnet (Australia)
00011A,Hoffmann und Burmeister GbR
00011B,Unizone Technologies, Inc.
00011C,Universal Talkware Corporation
00011D,Centillium Communications
00011E,Precidia Technologies, Inc.
00011F,RC Networks, Inc.
000120,OSCILLOQUARTZ S.A.
000121,WatchGuard Technologies, Inc.
000122,Trend Communications, Ltd.
000123,Schneider Electric Japan Holdings Ltd.
000124,Acer Incorporated
000125,YAESU MUSEN CO., LTD.
000126,PAC Labs
000127,OPEN Networks Pty Ltd
000128,EnjoyWeb, Inc.
000129,DFI Inc.
00012A,Telematica Sistems Inteligente
00012B,TELENET Co., Ltd.
00012C,Aravox Technologies, Inc.
00012D,Komodo Technology
00012E,PC Partner Ltd.
00012F,Twinhead International Corp
000130,Extreme Networks, Inc.
000131,Bosch Security Systems, Inc.
000132,Dranetz - BMI
000133,KYOWA Electronic Instruments C
000134,Selectron Systems AG
000135,KDC Corp.
000136,CyberTAN Technology Inc.
000137,IT Farm Corporation
000138,XAVi Technologies Corp.
000139,Point Multimedia Systems
00013A,SHELCAD COMMUNICATIONS, LTD.
00013B,BNA SYSTEMS
00013C,TIW SYSTEMS
00013D,RiscStation Ltd.
00013E,Ascom Tateco AB
00013F,Neighbor World Co., Ltd.
000140,Sendtek Corporation
000141,CABLE PRINT
000142,Cisco Systems, Inc
000143,Cisco Systems, Inc
000144,Dell EMC
000145,WINSYSTEMS, INC.
000146,Tesco Controls, Inc.
000147,Zhone Technologies
000148,X-traWeb Inc.
000149,TDT AG
00014A,Sony Corporation
00014B,Ennovate Networks, Inc.
00014C,Berkeley Process Control
00014D,Shin Kin Enterprises Co., Ltd
00014E,WIN Enterprises, Inc.
00014F,Adtran Inc
000150,GILAT COMMUNICATIONS, LTD.
000151,Ensemble Communications
000152,CHROMATEK INC.
000153,ARCHTEK TELECOM CORPORATION
000154,G3M Corporation
000155,Promise Technology, Inc.
000156,FIREWIREDIRECT.COM, INC.
000157,SYSWAVE CO., LTD
000158,Electro IndustriesGauge Tech
000159,S1 Corporation
00015A,Digital Video Broadcasting
00015B,ITALTEL S.p.ARF-UP-I
00015C,CADANT INC.
00015D,Oracle Corporation
00015E,BEST TECHNOLOGY CO., LTD.
00015F,DIGITAL DESIGN GmbH
000160,ELMEX Co., LTD.
000161,Meta Machine Technology
000162,Cygnet Technologies, Inc.
000163,Cisco Systems, Inc
000164,Cisco Systems, Inc
000165,AirSwitch Corporation
000166,TC GROUP AS
000167,HIOKI E.E. CORPORATION
000168,VITANA CORPORATION
000169,Celestix Networks Pte Ltd.
00016A,ALITEC
00016B,LightChip, Inc.
00016C,FOXCONN
00016D,CarrierComm Inc.
00016E,Conklin Corporation
00016F,Inkel Corp.
000170,ESE Embedded System Engineerg
000171,Allied Data Technologies
000172,TechnoLand Co., LTD.
000173,AMCC
000174,CyberOptics Corporation
000175,Radiant Communications Corp.
000176,Orient Silver Enterprises
000177,EDSL
000178,MARGI Systems, Inc.
000179,WIRELESS TECHNOLOGY, INC.
00017A,Chengdu Maipu Electric Industrial Co., Ltd.
00017B,Heidelberger Druckmaschinen AG
00017C,AG-E GmbH
00017D,ThermoQuest
00017E,ADTEK System Science Co., Ltd.
00017F,Experience Music Project
000180,AOpen, Inc.
000181,Nortel Networks
000182,DICA TECHNOLOGIES AG
000183,ANITE TELECOMS
000184,SIEB  MEYER AG
000185,Hitachi Aloka Medical, Ltd.
000186,Uwe Disch
000187,I2SE GmbH
000188,LXCO Technologies ag
000189,Refraction Technology, Inc.
00018A,ROI COMPUTER AG
00018B,NetLinks Co., Ltd.
00018C,Mega Vision
00018D,AudeSi Technologies
00018E,Logitec Corporation
00018F,Kenetec, Inc.
000190,SMK-M
000191,SYRED Data Systems
000192,Texas Digital Systems
000193,Hanbyul Telecom Co., Ltd.
000194,Capital Equipment Corporation
000195,Sena Technologies, Inc.
000196,Cisco Systems, Inc
000197,Cisco Systems, Inc
000198,Darim Vision
000199,HeiSei Electronics
00019A,LEUNIG GmbH
00019B,Kyoto Microcomputer Co., Ltd.
00019C,JDS Uniphase Inc.
00019D,E-Control Systems, Inc.
00019E,ESS Technology, Inc.
00019F,ReadyNet
0001A0,Infinilink Corporation
0001A1,Mag-Tek, Inc.
0001A2,Logical Co., Ltd.
0001A3,GENESYS LOGIC, INC.
0001A4,Microlink Corporation
0001A5,Nextcomm, Inc.
0001A6,Scientific-Atlanta Arcodan AS
0001A7,UNEX TECHNOLOGY CORPORATION
0001A8,Welltech Computer Co., Ltd.
0001A9,BMW AG
0001AA,Airspan Communications, Ltd.
0001AB,Main Street Networks
0001AC,Sitara Networks, Inc.
0001AD,Coach Master International  d.b.a. CMI Worldwide, Inc.
0001AE,Trex Enterprises
0001AF,Artesyn Embedded Technologies
0001B0,Fulltek Technology Co., Ltd.
0001B1,General Bandwidth
0001B2,Digital Processing Systems, Inc.
0001B3,Precision Electronic Manufacturing
0001B4,Wayport, Inc.
0001B5,Turin Networks, Inc.
0001B6,SAEJIN TM Co., Ltd.
0001B7,Centos, Inc.
0001B8,Netsensity, Inc.
0001B9,SKF (U.K.) Limited
0001BA,IC-Net, Inc.
0001BB,Frequentis
0001BC,Brains Corporation
0001BD,Peterson Electro-Musical Products, Inc.
0001BE,Gigalink Co., Ltd.
0001BF,Teleforce Co., Ltd.
0001C0,CompuLab, Ltd.
0001C1,Vitesse Semiconductor Corporation
0001C2,ARK Research Corp.
0001C3,Acromag, Inc.
0001C4,NeoWave, Inc.
0001C5,Simpler Networks
0001C6,Quarry Technologies
0001C7,Cisco Systems, Inc
0001C8,THOMAS CONRAD CORP.
0001C9,Cisco Systems, Inc
0001CA,Geocast Network Systems, Inc.
0001CB,EVR
0001CC,Japan Total Design Communication Co., Ltd.
0001CD,ARtem
0001CE,Custom Micro Products, Ltd.
0001CF,Alpha Data Parallel Systems, Ltd.
0001D0,VitalPoint, Inc.
0001D1,CoNet Communications, Inc.
0001D2,inXtron, Inc.
0001D3,PAXCOMM, Inc.
0001D4,Leisure Time, Inc.
0001D5,HAEDONG INFO  COMM CO., LTD
0001D6,manroland AG
0001D7,F5 Networks, Inc.
0001D8,Teltronics, Inc.
0001D9,Sigma, Inc.
0001DA,WINCOMM Corporation
0001DB,Freecom Technologies GmbH
0001DC,Activetelco
0001DD,Avail Networks
0001DE,Trango Systems, Inc.
0001DF,ISDN Communications, Ltd.
0001E0,Fast Systems, Inc.
0001E1,Kinpo Electronics, Inc.
0001E2,Ando Electric Corporation
0001E3,Siemens AG
0001E4,Sitera, Inc.
0001E5,Supernet, Inc.
0001E6,Hewlett Packard
0001E7,Hewlett Packard
0001E8,Force10 Networks, Inc.
0001E9,Litton Marine Systems B.V.
0001EA,Cirilium Corp.
0001EB,C-COM Corporation
0001EC,Ericsson Group
0001ED,SETA Corp.
0001EE,Comtrol Europe, Ltd.
0001EF,Camtel Technology Corp.
0001F0,Tridium, Inc.
0001F1,Innovative Concepts, Inc.
0001F2,Mark of the Unicorn, Inc.
0001F3,QPS, Inc.
0001F4,Enterasys
0001F5,ERIM S.A.
0001F6,Association of Musical Electronics Industry
0001F7,Image Display Systems, Inc.
0001F8,TEXIO TECHNOLOGY CORPORATION
0001F9,TeraGlobal Communications Corp.
0001FA,HOROSCAS
0001FB,DoTop Technology, Inc.
0001FC,Keyence Corporation
0001FD,Digital Voice Systems, Inc.
0001FE,DIGITAL EQUIPMENT CORPORATION
0001FF,Data Direct Networks, Inc.
000200,Net  Sys Co., Ltd.
000201,IFM Electronic gmbh
000202,Amino Communications, Ltd.
000203,Woonsang Telecom, Inc.
000204,Bodmann Industries Elektronik GmbH
000205,Hitachi Denshi, Ltd.
000206,Telital RD Denmark AS
000207,VisionGlobal Network Corp.
000208,Unify Networks, Inc.
000209,Shenzhen SED Information Technology Co., Ltd.
00020A,Gefran Spa
00020B,Native Networks, Inc.
00020C,Metro-Optix
00020D,Micronpc.com
00020E,ECI Telecom Ltd.
00020F,AATR
000210,Fenecom
000211,Nature Worldwide Technology Corp.
000212,SierraCom
000213,S.D.E.L.
000214,DTVRO
000215,Cotas Computer Technology AB
000216,Cisco Systems, Inc
000217,Cisco Systems, Inc
000218,Advanced Scientific Corp
000219,Paralon Technologies
00021A,Zuma Networks
00021B,Kollmorgen-Servotronix
00021C,Network Elements, Inc.
00021D,Data General Communication Ltd.
00021E,SIMTEL S.R.L.
00021F,Aculab PLC
000220,CANON FINETECH INC.
000221,DSP Application, Ltd.
000222,Chromisys, Inc.
000223,ClickTV
000224,C-COR
000225,One Stop Systems
000226,XESystems, Inc.
000227,ESD Electronic System Design GmbH
000228,Necsom, Ltd.
000229,Adtec Corporation
00022A,Asound Electronic
00022B,SAXA, Inc.
00022C,ABB Bomem, Inc.
00022D,Agere Systems
00022E,TEAC Corp. R D
00022F,P-Cube, Ltd.
000230,Intersoft Electronics
000231,Ingersoll-Rand
000232,Avision, Inc.
000233,Mantra Communications, Inc.
000234,Imperial Technology, Inc.
000235,Paragon Networks International
000236,INIT GmbH
000237,Cosmo Research Corp.
000238,Serome Technology, Inc.
000239,Visicom
00023A,ZSK Stickmaschinen GmbH
00023B,Ericsson
00023C,Creative Technology, Ltd.
00023D,Cisco Systems, Inc
00023E,Selta Telematica S.p.a
00023F,Compal Electronics INC.
000240,Seedek Co., Ltd.
000241,Amer.com
000242,Videoframe Systems
000243,Raysis Co., Ltd.
000244,SURECOM Technology Co.
000245,Lampus Co, Ltd.
000246,All-Win Tech Co., Ltd.
000247,Great Dragon Information Technology (Group) Co., Ltd.
000248,Pilz GmbH  Co.
000249,Aviv Infocom Co, Ltd.
00024A,Cisco Systems, Inc
00024B,Cisco Systems, Inc
00024C,SiByte, Inc.
00024D,Mannesman Dematic Colby Pty. Ltd.
00024E,Datacard Group
00024F,IPM Datacom S.R.L.
000250,Geyser Networks, Inc.
000251,Soma Networks, Inc.
000252,Carrier Corporation
000253,Televideo, Inc.
000254,WorldGate
000255,IBM Corp
000256,Alpha Processor, Inc.
000257,Microcom Corp.
000258,Flying Packets Communications
000259,Tsann Kuen China (Shanghai)Enterprise Co., Ltd. IT Group
00025A,Catena Networks
00025B,Cambridge Silicon Radio
00025C,SCI Systems (Kunshan) Co., Ltd.
00025D,Calix Networks
00025E,High Technology Ltd
00025F,Nortel Networks
000260,Accordion Networks, Inc.
000261,Tilgin AB
000262,Soyo Group Soyo Com Tech Co., Ltd
000263,UPS Manufacturing SRL
000264,AudioRamp.com
000265,Virditech Co. Ltd.
000266,Thermalogic Corporation
000267,NODE RUNNER, INC.
000268,Harris Government Communications
000269,Nadatel Co., Ltd
00026A,Cocess Telecom Co., Ltd.
00026B,BCM Computers Co., Ltd.
00026C,Philips CFT
00026D,Adept Telecom
00026E,NeGeN Access, Inc.
00026F,Senao International Co., Ltd.
000270,Crewave Co., Ltd.
000271,Zhone Technologies
000272,CCC Technologies, Inc.
000273,Coriolis Networks
000274,Tommy Technologies Corp.
000275,SMART Technologies, Inc.
000276,Primax Electronics Ltd.
000277,Cash Systemes Industrie
000278,SAMSUNG ELECTRO MECHANICS CO., LTD.
000279,Control Applications, Ltd.
00027A,IOI Technology Corporation
00027B,Amplify Net, Inc.
00027C,Trilithic, Inc.
00027D,Cisco Systems, Inc
00027E,Cisco Systems, Inc
00027F,ask-technologies.com
000280,Mu Net, Inc.
000281,Madge Ltd.
000282,ViaClix, Inc.
000283,Spectrum Controls, Inc.
000284,UK Grid Solutions Limited
000285,Riverstone Networks
000286,Occam Networks
000287,Adapcom
000288,GLOBAL VILLAGE COMMUNICATION
000289,DNE Technologies
00028A,Ambit Microsystems Corporation
00028B,VDSL Systems OY
00028C,Micrel-Synergy Semiconductor
00028D,Movita Technologies, Inc.
00028E,Rapid 5 Networks, Inc.
00028F,Globetek, Inc.
000290,Woorigisool, Inc.
000291,Open Network Co., Ltd.
000292,Logic Innovations, Inc.
000293,Solid Data Systems
000294,Tokyo Sokushin Co., Ltd.
000295,IP.Access Limited
000296,Lectron Co,. Ltd.
000297,C-COR.net
000298,Broadframe Corporation
000299,Apex, Inc.
00029A,Storage Apps
00029B,Kreatel Communications AB
00029C,3COM
00029D,Merix Corp.
00029E,Information Equipment Co., Ltd.
00029F,L-3 Communication Aviation Recorders
0002A0,Flatstack Ltd.
0002A1,World Wide Packets
0002A2,Hilscher GmbH
0002A3,ABB Switzerland Ltd, Power Systems
0002A4,AddPac Technology Co., Ltd.
0002A5,Hewlett Packard
0002A6,Effinet Systems Co., Ltd.
0002A7,Vivace Networks
0002A8,Air Link Technology
0002A9,RACOM, s.r.o.
0002AA,PLcom Co., Ltd.
0002AB,CTC Union Technologies Co., Ltd.
0002AC,3PAR data
0002AD,HOYA Corporation
0002AE,Scannex Electronics Ltd.
0002AF,TeleCruz Technology, Inc.
0002B0,Hokubu Communication  Industrial Co., Ltd.
0002B1,Anritsu, Ltd.
0002B2,Cablevision
0002B3,Intel Corporation
0002B4,DAPHNE
0002B5,Avnet, Inc.
0002B6,Acrosser Technology Co., Ltd.
0002B7,Watanabe Electric Industry Co., Ltd.
0002B8,WHI KONSULT AB
0002B9,Cisco Systems, Inc
0002BA,Cisco Systems, Inc
0002BB,Continuous Computing Corp
0002BC,LVL 7 Systems, Inc.
0002BD,Bionet Co., Ltd.
0002BE,Totsu Engineering, Inc.
0002BF,dotRocket, Inc.
0002C0,Bencent Tzeng Industry Co., Ltd.
0002C1,Innovative Electronic Designs, Inc.
0002C2,Net Vision Telecom
0002C3,Arelnet Ltd.
0002C4,OPT Machine Vision Tech Co., Ltd
0002C5,Evertz Microsystems Ltd.
0002C6,Data Track Technology PLC
0002C7,ALPSALPINE CO,.LTD
0002C8,Technocom Communications Technology (pte) Ltd
0002C9,Mellanox Technologies, Inc.
0002CA,EndPoints, Inc.
0002CB,TriState Ltd.
0002CC,M.C.C.I
0002CD,TeleDream, Inc.
0002CE,FoxJet, Inc.
0002CF,ZyGate Communications, Inc.
0002D0,Comdial Corporation
0002D1,Vivotek, Inc.
0002D2,Workstation AG
0002D3,NetBotz, Inc.
0002D4,PDA Peripherals, Inc.
0002D5,ACR
0002D6,NICE Systems
0002D7,EMPEG Ltd
0002D8,BRECIS Communications Corporation
0002D9,Reliable Controls
0002DA,ExiO Communications, Inc.
0002DB,NETSEC
0002DC,Fujitsu General Limited
0002DD,Bromax Communications, Ltd.
0002DE,Astrodesign, Inc.
0002DF,Net Com Systems, Inc.
0002E0,ETAS GmbH
0002E1,Integrated Network Corporation
0002E2,NDC Infared Engineering
0002E3,LITE-ON Communications, Inc.
0002E4,JC HYUN Systems, Inc.
0002E5,Timeware Ltd.
0002E6,Gould Instrument Systems, Inc.
0002E7,CAB GmbH  Co KG
0002E8,E.D.A.
0002E9,CS Systemes De Securite - C3S
0002EA,Focus Enhancements
0002EB,Pico Communications
0002EC,Maschoff Design Engineering
0002ED,DXO Telecom Co., Ltd.
0002EE,Nokia Danmark AS
0002EF,CCC Network Systems Group Ltd.
0002F0,AME Optimedia Technology Co., Ltd.
0002F1,Pinetron Co., Ltd.
0002F2,eDevice, Inc.
0002F3,Media Serve Co., Ltd.
0002F4,PCTEL, Inc.
0002F5,VIVE Synergies, Inc.
0002F6,Equipe Communications
0002F7,ARM
0002F8,SEAKR Engineering, Inc.
0002F9,MIMOS Berhad
0002FA,DX Antenna Co., Ltd.
0002FB,Baumuller Aulugen-Systemtechnik GmbH
0002FC,Cisco Systems, Inc
0002FD,Cisco Systems, Inc
0002FE,Viditec, Inc.
0002FF,Handan BroadInfoCom
000300,Barracuda Networks, Inc.
000301,EXFO
000302,Charles Industries, Ltd.
000303,JAMA Electronics Co., Ltd.
000304,Pacific Broadband Communications
000305,MSC Vertriebs GmbH
000306,Fusion In Tech Co., Ltd.
000307,Secure Works, Inc.
000308,AM Communications, Inc.
000309,Texcel Technology PLC
00030A,Argus Technologies
00030B,Hunter Technology, Inc.
00030C,Telesoft Technologies Ltd.
00030D,Uniwill Computer Corp.
00030E,Core Communications Co., Ltd.
00030F,Digital China (Shanghai) Networks Ltd.
000310,E-Globaledge Corporation
000311,Micro Technology Co., Ltd.
000312,TRsystems GmbH
000313,Access Media SPA
000314,Teleware Network Systems
000315,Cidco Incorporated
000316,Nobell Communications, Inc.
000317,Merlin Systems, Inc.
000318,Cyras Systems, Inc.
000319,Infineon AG
00031A,Beijing Broad Telecom Ltd., China
00031B,Cellvision Systems, Inc.
00031C,Svenska Hardvarufabriken AB
00031D,Taiwan Commate Computer, Inc.
00031E,Optranet, Inc.
00031F,Condev Ltd.
000320,Xpeed, Inc.
000321,Reco Research Co., Ltd.
000322,IDIS Co., Ltd.
000323,Cornet Technology, Inc.
000324,SANYO Consumer Electronics Co., Ltd.
000325,Arima Computer Corp.
000326,Iwasaki Information Systems Co., Ltd.
000327,ACTL
000328,Mace Group, Inc.
000329,F3, Inc.
00032A,UniData Communication Systems, Inc.
00032B,GAI Datenfunksysteme GmbH
00032C,ABB Switzerland Ltd
00032D,IBASE Technology, Inc.
00032E,Scope Information Management, Ltd.
00032F,Global Sun Technology, Inc.
000330,Imagenics, Co., Ltd.
000331,Cisco Systems, Inc
000332,Cisco Systems, Inc
000333,Digitel Co., Ltd.
000334,Omega Engineering Inc.
000335,Mirae Technology
000336,Zetes Technologies
000337,Vaone, Inc.
000338,Oak Technology
000339,Eurologic Systems, Ltd.
00033A,Silicon Wave, Inc.
00033B,TAMI Tech Co., Ltd.
00033C,Daiden Co., Ltd.
00033D,ILSHin Lab
00033E,Tateyama System Laboratory Co., Ltd.
00033F,BigBand Networks, Ltd.
000340,Floware Wireless Systems, Ltd.
000341,Axon Digital Design
000342,Nortel Networks
000343,Martin Professional AS
000344,Tietech.Co., Ltd.
000345,Routrek Networks Corporation
000346,Hitachi Kokusai Electric, Inc.
000347,Intel Corporation
